size,sortTime1,sortTime2
0,0.000000,0.000000
100,0.000000,0.000000
200,0.997800,0.000000
300,0.000000,0.000000
400,0.000000,0.000000
500,0.000000,0.000000
600,0.000000,0.000000
700,0.000000,0.000000
800,0.996900,0.000000
900,0.000000,0.000000
1000,0.000000,0.000000
1100,0.000000,0.000000
1200,0.000000,0.000000
1300,0.000000,0.000000
1400,0.000000,0.000000
1500,0.000000,0.000000
1600,0.000000,0.000000
1700,0.000000,0.000000
1800,0.000000,0.000000
1900,0.000000,0.000000
2000,0.000000,0.000000
2100,0.000000,0.000000
2200,0.000000,0.000000
2300,0.000000,0.000000
2400,0.000000,0.000000
2500,0.997400,0.000000
2600,0.000000,0.000000
2700,0.000000,0.000000
2800,0.997300,0.000000
2900,0.000000,0.000000
3000,0.000000,0.000000
3100,0.996900,0.000000
3200,0.000000,0.000000
3300,0.000000,0.000000
3400,0.000000,0.000000
3500,0.000000,0.000000
3600,0.000000,0.000000
3700,0.000000,0.000000
3800,0.000000,0.000000
3900,0.000000,0.000000
4000,0.000000,0.000000
4100,0.997400,0.000000
4200,0.000000,0.000000
4300,0.997500,0.000000
4400,0.000000,0.000000
4500,0.998200,0.000000
4600,0.000000,0.000000
4700,1.031000,0.000000
4800,0.000000,0.000000
4900,0.994900,0.000000
5000,0.000000,0.000000
5100,0.965300,0.000000
5200,0.000000,0.000000
5300,0.000000,0.000000
5400,0.000000,0.000000
5500,0.000000,0.000000
5600,1.029800,0.000000
5700,0.000000,0.000000
5800,0.000000,0.000000
5900,0.000000,0.000000
6000,0.000000,0.000000
6100,1.031200,0.000000
6200,0.000000,0.000000
6300,0.000000,0.000000
6400,0.997200,0.000000
6500,0.000000,0.000000
6600,0.000000,0.000000
6700,0.000000,0.000000
6800,0.000000,0.000000
6900,0.000000,0.000000
7000,1.000200,0.000000
7100,0.000000,0.000000
7200,0.000000,0.000000
7300,0.000000,0.000000
7400,0.000000,0.000000
7500,0.000000,0.000000
7600,0.000000,0.000000
7700,0.000000,0.000000
7800,0.994700,0.000000
7900,0.000000,0.000000
8000,0.000000,0.000000
8100,0.000000,0.000000
8200,0.000000,0.000000
8300,1.023700,0.000000
8400,0.995400,0.000000
8500,0.000000,0.000000
8600,0.000000,0.000000
8700,0.000000,0.000000
8800,0.000000,0.000000
8900,0.000000,0.000000
9000,0.000000,0.000000
9100,0.000000,0.000000
9200,0.000000,0.000000
9300,0.000000,0.000000
9400,0.000000,0.000000
9500,0.000000,0.000000
9600,0.000000,0.000000
9700,0.997500,0.000000
9800,1.027100,0.000000
9900,0.000000,0.000000
10000,1.031900,0.000000
10100,0.000000,0.000000
10200,0.000000,0.000000
10300,0.000000,0.000000
10400,0.000000,0.000000
10500,0.000000,0.000000
10600,0.000000,0.000000
10700,0.000000,0.000000
10800,0.000000,0.000000
10900,0.000000,0.000000
11000,0.000000,0.000000
11100,1.022600,0.000000
11200,1.005400,0.000000
11300,0.999900,0.000000
11400,0.000000,0.000000
11500,0.000000,0.000000
11600,0.000000,0.000000
11700,0.000000,0.000000
11800,0.996800,0.000000
11900,0.996800,0.000000
12000,0.000000,0.000000
12100,0.000000,0.000000
12200,0.000000,0.000000
12300,0.000000,0.000000
12400,0.997500,0.000000
12500,0.000000,0.000000
12600,0.000000,0.000000
12700,0.000000,0.000000
12800,0.996600,0.000000
12900,1.033300,0.000000
13000,0.000000,0.000000
13100,0.000000,0.000000
13200,0.996500,0.000000
13300,0.000000,0.000000
13400,0.000000,0.000000
13500,0.998200,0.000000
13600,1.031900,0.000000
13700,0.000000,0.000000
13800,0.000000,0.000000
13900,0.973800,0.000000
14000,0.000000,0.000000
14100,0.000000,0.000000
14200,1.001200,0.000000
14300,0.000000,0.000000
14400,0.000000,0.000000
14500,0.997500,0.000000
14600,0.000000,0.000000
14700,0.996400,0.000000
14800,0.999200,0.000000
14900,0.000000,0.000000
15000,1.029200,0.000000
15100,0.000000,0.000000
15200,0.000000,0.000000
15300,0.998800,0.000000
15400,0.000000,0.000000
15500,0.997300,0.000000
15600,0.000000,0.000000
15700,0.995400,0.000000
15800,0.000000,0.000000
15900,0.000000,0.000000
16000,0.000000,0.000000
16100,0.997400,0.000000
16200,0.000000,0.000000
16300,0.996700,0.000000
16400,0.000000,0.000000
16500,1.029000,0.000000
16600,0.000000,0.000000
16700,0.000000,0.000000
16800,0.992100,0.000000
16900,0.000000,0.000000
17000,0.000000,0.000000
17100,0.994500,0.000000
17200,0.000000,0.000000
17300,0.997100,0.000000
17400,0.996100,0.000000
17500,0.000000,0.000000
17600,0.000000,0.000000
17700,0.962600,0.000000
17800,0.000000,0.000000
17900,0.000000,0.000000
18000,1.001000,0.000000
18100,0.999600,0.000000
18200,0.000000,0.000000
18300,0.000000,0.000000
18400,0.996400,0.000000
18500,0.000000,0.000000
18600,0.000000,0.000000
18700,0.000000,0.000000
18800,1.028100,0.000000
18900,1.000300,0.000000
19000,0.000000,0.000000
19100,0.000000,0.000000
19200,0.000000,0.000000
19300,0.996400,0.000000
19400,0.990900,0.000000
19500,0.957600,0.000000
19600,0.999500,0.000000
19700,0.000000,0.000000
19800,0.000000,0.000000
19900,0.000000,0.000000
20000,0.997200,0.000000
20100,0.997400,0.000000
20200,1.000400,0.000000
20300,0.000000,0.000000
20400,0.000000,0.000000
20500,0.000000,0.000000
20600,0.000000,0.000000
20700,0.000000,0.000000
20800,0.000000,0.000000
20900,0.996500,0.000000
21000,1.047200,0.000000
21100,0.994900,0.000000
21200,0.994400,0.000000
21300,0.962000,0.000000
21400,0.997400,0.000000
21500,0.994500,0.000000
21600,0.963400,0.000000
21700,0.997100,0.000000
21800,1.020700,0.000000
21900,0.996000,0.000000
22000,0.962800,0.000000
22100,0.999100,0.000000
22200,0.997000,0.000000
22300,0.995200,0.000000
22400,1.028600,0.000000
22500,0.996900,0.000000
22600,0.998000,0.000000
22700,0.962200,0.000000
22800,1.030100,0.000000
22900,0.999000,0.000000
23000,0.997800,0.000000
23100,0.000000,0.000000
23200,0.000000,0.000000
23300,0.000000,0.000000
23400,0.000000,0.000000
23500,0.000000,0.000000
23600,0.997400,0.000000
23700,0.960200,0.000000
23800,0.997600,0.000000
23900,0.999500,0.000000
24000,0.000000,0.000000
24100,0.000000,0.000000
24200,0.000000,0.000000
24300,0.994800,0.000000
24400,1.031600,0.000000
24500,0.996700,0.000000
24600,0.000000,0.000000
24700,0.000000,0.000000
24800,0.995200,0.000000
24900,1.032400,0.000000
25000,0.963500,0.000000
25100,0.000000,0.000000
25200,0.998100,0.000000
25300,0.963000,0.000000
25400,0.000000,0.000000
25500,0.000000,0.000000
25600,0.963000,0.000000
25700,0.000000,0.000000
25800,0.998800,0.000000
25900,0.964100,0.000000
26000,0.000000,0.000000
26100,0.000000,0.000000
26200,0.995200,0.000000
26300,0.000000,0.000000
26400,0.000000,0.000000
26500,0.997000,0.000000
26600,0.997600,0.000000
26700,0.000000,0.000000
26800,0.997700,0.000000
26900,0.000000,0.000000
27000,0.997200,0.000000
27100,0.000000,0.000000
27200,0.994000,0.000000
27300,1.000300,0.000000
27400,0.000000,0.000000
27500,0.999800,0.000000
27600,0.000000,0.000000
27700,1.001000,0.000000
27800,1.005600,0.000000
27900,0.000000,0.000000
28000,0.996700,0.000000
28100,0.000000,0.000000
28200,0.995200,0.000000
28300,1.002300,0.000000
28400,1.037700,0.000000
28500,0.997400,0.000000
28600,1.000100,0.000000
28700,0.965200,0.000000
28800,1.994900,0.000000
28900,0.989000,0.000000
29000,0.994400,0.000000
29100,1.998200,0.000000
29200,0.996900,0.000000
29300,1.029700,0.000000
29400,1.962900,0.000000
