queryNumber,OptimalBST,Array,HashTable
176000,46.206000,58.967300,59.063600
177000,47.591400,60.156900,57.817000
178000,61.833800,62.952300,54.482800
179000,45.962600,55.746600,53.855900
180000,46.080500,56.027000,54.056400
181000,57.572600,58.843300,59.888200
182000,46.460200,60.563200,55.000500
183000,46.475800,57.633200,55.821800
184000,45.069200,49.996100,56.020800
185000,45.996000,50.272900,55.361900
186000,51.942800,62.970500,56.775400
187000,45.877600,50.120900,57.315700
188000,46.397000,50.866800,57.203300
189000,47.532800,49.922500,56.941200
190000,46.641800,60.943300,60.068600
191000,47.236700,61.190700,57.622300
192000,47.325900,62.159800,54.827500
193000,47.084100,61.943100,56.361200
194000,48.869000,61.834100,55.864100
195000,48.181200,62.961000,56.883900
196000,48.571600,55.578700,54.901000
197000,47.436200,54.635000,61.552800
198000,48.000800,55.760400,55.864700
199000,47.036400,55.019800,56.879800
200000,46.800200,56.964400,56.422700
201000,47.562000,56.279000,59.847700
202000,47.204800,54.992500,72.372300
203000,52.997900,53.922200,72.077500
204000,47.902200,53.854100,72.185500
205000,47.702700,55.329500,71.888700
206000,47.053600,54.988000,73.412700
207000,52.682200,60.019100,72.087700
208000,52.010300,54.925200,63.141500
209000,52.056400,55.873000,64.005200
210000,52.248800,56.502600,63.163100
211000,57.961300,57.695100,68.800000
212000,52.374900,57.003500,64.246800
213000,53.186700,56.575900,65.988200
214000,49.958200,60.093100,61.320500
215000,50.079300,62.165700,79.541200
216000,50.348000,60.683700,61.418600
217000,53.461600,60.647500,60.922900
218000,50.862600,62.032700,71.434200
219000,51.232200,50.524400,69.331100
220000,49.521400,51.016100,80.665100
221000,49.635400,51.585700,69.613300
222000,62.088400,54.850900,71.930900
223000,48.740300,53.089700,80.890900
224000,49.901800,52.364300,67.922400
225000,56.270900,73.372300,66.423100
226000,55.969200,74.065300,65.146300
227000,57.802500,74.033300,66.002900
228000,57.712900,73.380000,73.896500
229000,62.282600,75.094700,74.681900
230000,58.835600,77.153400,83.938000
231000,57.892100,61.370600,83.099300
232000,59.746000,61.176000,81.272300
233000,59.791700,61.925000,81.619800
234000,60.493600,61.841800,72.223500
235000,57.270700,60.653500,71.612500
236000,57.316700,60.361000,72.351700
237000,58.217500,60.080900,74.002900
238000,63.933800,60.252700,73.116200
239000,63.328300,60.329100,78.208200
240000,61.933100,76.982600,83.853100
241000,63.169600,78.413900,81.703100
242000,65.226900,78.129300,81.714600
243000,63.389200,83.241500,83.793200
244000,61.177800,69.776400,69.612600
245000,61.405500,69.275200,70.069500
246000,58.111100,69.715800,79.161600
247000,59.220400,68.887200,69.704300
248000,58.101400,69.149200,70.423100
249000,60.304500,67.017200,76.007500
250000,61.009800,67.107200,76.274800
251000,62.131800,66.985400,77.648700
252000,61.970200,69.357700,79.811800
253000,63.029900,67.803800,77.286000
254000,64.858900,79.041800,76.818400
255000,64.373700,79.833500,83.850800
256000,69.263600,80.184400,77.632600
257000,65.072600,83.250800,85.655400
258000,65.545000,72.769400,73.387700
259000,63.240500,71.032500,74.145400
260000,61.769600,91.936400,74.474000
261000,69.524500,71.085100,73.100600
262000,62.932200,72.944200,89.935000
263000,58.066400,61.867400,83.067900
264000,57.764200,62.603400,97.394500
265000,58.226000,67.128100,85.197800
266000,72.214500,63.924300,84.188300
267000,58.629000,63.158000,105.779500
268000,91.483700,117.040000,120.540700
269000,88.060100,103.641300,108.941500
270000,88.280200,104.908700,102.525000
271000,75.976100,95.520500,87.159800
272000,77.344600,95.785100,89.223100
273000,76.238600,97.369200,86.950400
274000,76.992000,96.975300,90.508200
275000,72.290000,107.026000,90.963700
276000,71.682800,98.838900,92.294500
277000,74.062800,94.515200,92.543400
278000,72.144100,98.113000,101.869600
279000,73.150000,89.971700,95.799600
280000,72.099400,89.996200,98.131200
281000,73.951500,90.797400,95.507900
282000,73.490100,85.973600,96.109300
283000,79.496800,87.784400,95.384300
284000,82.013400,85.974200,96.179200
285000,79.759200,87.738500,100.742900
286000,89.296700,98.218600,93.058300
287000,79.834500,104.064800,103.248100
288000,79.467900,99.545600,100.990800
289000,80.548300,107.324200,83.384400
290000,71.965900,96.690300,83.561900
291000,78.477700,86.432400,84.604000
292000,72.046500,88.318800,92.410300
293000,72.037900,86.346200,83.366100
294000,71.236300,79.989800,84.401900
295000,70.895400,81.104200,86.616100
296000,75.956500,81.090500,85.454300
297000,71.200700,81.390900,99.366000
298000,98.466200,115.256800,105.218600
299000,94.693400,116.946700,108.111200
300000,97.176800,116.441400,101.708900
301000,84.848600,106.259600,103.811000
302000,84.347400,111.364700,97.036600
303000,84.018900,120.918700,98.053500
304000,81.814400,72.933000,83.288500
305000,64.729700,72.227200,83.133200
306000,65.434600,71.574500,83.955300
307000,80.315800,80.496800,84.115200
308000,66.132100,77.095200,123.806300
309000,80.540900,106.111400,102.504600
310000,80.647400,105.900000,104.266000
311000,80.896000,105.982900,102.910500
312000,87.120100,102.790800,99.512000
313000,87.718900,103.821100,114.333600
314000,87.766300,107.209600,107.760000
315000,94.920800,113.535700,101.776600
316000,88.763500,113.976200,102.117400
317000,91.988900,113.386400,101.790900
318000,94.257100,109.385600,93.713700
319000,77.923300,100.042700,92.565900
320000,79.413900,104.819300,94.750300
321000,79.195500,101.018700,93.163100
322000,78.521600,98.398800,101.027900
323000,78.148800,104.461200,113.497100
324000,78.094300,98.898500,101.100000
325000,78.072900,113.124900,96.368300
326000,71.977100,79.511800,88.895000
327000,70.620600,80.176800,89.304000
328000,70.133700,90.893400,89.948600
329000,70.107500,80.267800,118.459300
330000,114.491400,142.594500,128.992300
331000,122.385400,159.868600,129.991400
332000,109.933300,89.239900,95.177800
333000,75.127300,89.913400,96.667100
334000,76.199500,91.534100,96.033700
335000,75.938700,90.842900,96.217400
336000,72.256600,78.703800,92.934200
337000,72.130300,79.192900,100.878600
338000,72.750800,82.521800,92.891000
339000,74.559300,84.022400,97.126700
340000,83.035800,108.144300,99.110500
341000,82.946100,117.902800,99.220600
342000,97.619300,123.148900,98.831300
343000,89.076200,154.131200,148.049300
344000,131.613100,138.953800,134.928100
345000,112.354700,144.026000,114.624900
346000,84.095200,97.232900,111.028400
347000,85.244800,87.812600,116.882900
348000,83.946100,88.750600,121.453100
349000,85.401400,111.699400,109.750200
350000,86.294000,110.015300,101.935600
351000,86.150700,109.972300,102.603900
352000,86.849400,106.069300,99.769400
353000,82.764300,99.942900,100.223300
354000,82.975200,100.746700,100.051600
355000,83.403800,100.279800,106.785000
356000,110.634400,128.909600,126.065400
357000,112.967400,128.884200,126.545400
358000,111.545600,130.099800,123.391600
359000,90.166000,112.759800,115.832100
360000,90.310300,113.548200,108.860100
361000,94.354000,116.410000,105.050500
362000,82.290700,98.598700,110.697800
363000,88.423900,97.559600,104.322900
364000,82.157300,98.845700,104.103500
365000,84.489700,99.522800,110.980700
366000,89.340500,92.797600,111.893100
367000,94.048300,93.932900,117.859400
368000,90.755000,96.461900,114.821600
369000,97.475000,101.810200,112.417400
